 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Laporan Kas Harian PT. SKYNET LINTAS NUSANTARA,,,,,,,,,,,,,,,,
Periode 01-30 januari 2026,,,,,,,,,,,,,,,,
Tanggal,No.Bukti,Keterangan,, Jumlah ,,Saldo,,,,,,,RINCIAN KAS BON,,,
,,,, Penerimaan , Pengeluaran ,,,,,,Tanggal,No.Bukti,,,,
,,Bi parkir N 2821 TEO Bank Mandiri Lawag tgl 09/01/2026,Transportasi,,"2,000","-527,070",,,,,,,,,,
,,Bi untuk pembelian Konsumsi Kantor tgl 09/01/2026 - 14 karyawan kantor @10.000                ,Konsumsi Kantor,,"130,000","-657,070",,,,,,,,,,
10-Jan,10,Dana Masuk Operasional,dana masuk,"1,700,000",,"1,042,930",,,,,,,,,,
,,Bi untuk pembayaran fee IKR Tim SMK Unsur 50user tgl 10/01/2026,fee,,1250000,"-207,070",,,,,,,,,,
,,Bi pembelian material tgl 10/01/2026- 10pack paku klam07 @ 3.000,Material,,30000,"-237,070",,,,,,,,,,
,,Bi untuk pembelian ATK tgl 10/01/2026 - 10pcs kertas linen @ 1.500,ATK,,15000,"-252,070",,,,,,,,,,
,,Bi untuk pembelian rumah tangga tgl 10/01/2026 - 6pcs oxy@ 12.000,Rumah Tangga,,72000,"-324,070",,,,,,,,,,
,,Bi transportasi IKR Lawang tgl 10/01/2026,IKR Lawang,,24500,"-348,570",,,,,,,,,,
,,Bi untuk pembelian Konsumsi Kantor tgl 10/01/2026 - 14 karyawan kantor @10.000                ,Konsumsi Kantor,,"130,000","-478,570",,,,,,,,,,
12-Jan,11,Bi pembelian material tgl 12/01/2026- 10pack paku klam07 @ 3.000,Material,,30000,"-508,570",,,,,,,,,,
,,Bi pembelian material tgl 12/01/2026- 1pcs steker T @ 8.000,Material,,8000,"-516,570",,,,,,,,,,
,,Bi pembelian material tgl 12/01/2026- 1pcs inlite 20W @ 42.000,Material,,42000,"-558,570",,,,,,,,,,
,,Bi pembelian material tgl 12/01/2026- 1pcs baterai bor cordless@ 131.400,Material,,131400,"-689,970",,,,,,,,,,
,,Bi pembelian material tgl 12/01/2026- 6pcs stop arde bulat @ 6.000,Material,,"36,000","-725,970",,,,,,,,,,
,,"Bi pembelian material tgl 12/01/2026- 10m  2x1,5 x trana@ 12.000",Material,,120000,"-845,970",,,,,,,,,,
,,Bi pembelian material tgl 12/01/2026- 3pcs stop arde uticon 3lb @ 17.000,Material,,51000,"-896,970",,,,,,,,,,
,,Bi pembelian material tgl 12/01/2026- 1pcs stop arde uticon 6lb@ 36.000,Material,,36000,"-932,970",,,,,,,,,,
,,Bi pembelian material tgl 12/01/2026- 1pcs double tape foam @ 14.000,Material,,14000,"-946,970",,,,,,,,,,
,,Bi pembelian material tgl 12/01/2026- 1pcs talitis 15cm pth @ 9.000,Material,,9000,"-955,970",,,,,,,,,,
,,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 12/01/2026,Listrik Kantor,,"203,500","-1,159,470",,,,,,,,,,
,,Bi untuk pembelian Konsumsi Kantor tgl 12/01/2026 - 14 karyawan kantor @10.000                ,Konsumsi Kantor,,"130,000","-1,289,470",,,,,,,,,,
,,Bi BBM N 2418 YBI km 594211 tgl 08/01/2026 ltr 1.5 IKR Lawang ,IKR Lawang,,15000,"-1,304,470",,,,,,,,,,
,,"Bi BBM N 2114 EFD km 357197 tgl 11/01/2026 ltr 1.5 maintance randuagung,yonkav,arjosari",Transportasi,,"15,000.00","-1,319,470",,,,,,,,,,
,,Bi BBM N 2114 EFD km 284572 tgl 12/01/2026 ltr 1.5 ,Transportasi,,"15,000.00","-1,334,470",,,,,,,,,,
13 Jan,12,Dana Masuk Operasional,dana masuk,5000000,,"3,665,530",,,,,,,,,,
,,Bi pembelian material tgl 13/01/2026- 2pcs solasi nasional @ 7.000,Material,,"14,000","3,651,530",,,,,,,,,,
,,Bi pembelian material tgl 13/12/2026- 1pcs sealant tabung @ 35.000,Material,,"35,000","3,616,530",,,,,,,,,,
,,Bi pembelian material tgl 13/01/2026- 1pack kabel tic @ 12.000,Material,,"12,000","3,604,530",,,,,,,,,,
,,Bi pembelian material tgl 13/01/2026- 2pcs spliter 1:2 kabel @ 30.000,Material,,"60,000","3,544,530",,,,,,,,,,
,,Bi BBM N 2109 EFD km 426664 tgl 13/01/2026 ltr 3.0 maintance bedali ,Transportasi,,30000,"3,514,530",,,,,,,,,,
,,Bi BBM N 2114 EFD km 358225 tgl 13/01/2026 ltr 2.5 maintance tutur,Transportasi,,25880,"3,488,650",,,,,,,,,,
,,Bi BBM N 4559 EGM km 399599 tgl 13/01/2026 ltr 1.5 maintance arjosari,Transportasi,,15000,"3,473,650",,,,,,,,,,
,,Bi BBM N 2110 EFD km 391814 tgl 13/01/2026 ltr 3.0 blimbing,IKR Blimbing,,30000,"3,443,650",,,,,,,,,,
,,Bi untuk pembelian Konsumsi Kantor tgl 13/01/2026 - 16 karyawan kantor @9.000                ,Konsumsi Kantor,,"144,000","3,299,650",,,,,,,,,,
,,Bi untuk pembayaran  jasa tukang tgl 13/01/2026,jasa,,"120,000","3,179,650",,,,,,,,,,
,,Bi untuk perawatan  kendaraan tambal ban N 4559 EGM  tgl 13/01/2026,Perawatan Kendaraan,,"20,000","3,159,650",,,,,,,,,,
14-Jan-26,13,Bi pembelian material tgl 14/01/2026- 2pcs isolasi national@ 7.000 lawang,Material,,"14,000","3,145,650",,,,,,,,,,
,,Bi pembelian material tgl 14/01/2026- 4pcs paku klaim @ 5.000 stock,Material,,20000,"3,125,650",,,,,,,,,,
,,Bi pembelian material tgl 14/01/2026- 1pack kabel tis @ 12.000 stock,Material,,"12,000","3,113,650",,,,,,,,,,
,,Bi pembelian material tgl 14/01/2026- 1pack joint closure mini 6c @ 65.000 arjosari,Material,,"65,000","3,048,650",,,,,,,,,,
,,Bi untuk pembelian rumah tangga tgl 14/01/2026 - 1pcs gula @ 17.000 ,Rumah Tangga,,"17,000","3,031,650",,,,,,,,,,
,,Bi untuk pembelian rumah tangga tgl 14/01/2026 - 1pcs top aren@ 17.500,Rumah Tangga,,"17,500","3,014,150",,,,,,,,,,
,,Bi untuk pembelian rumah tangga tgl 14/01/2026 - 1pcs neo coffe @ 17.000,Rumah Tangga,,17000,"2,997,150",,,,,,,,,,
,,Bi untuk pembelian rumah tangga tgl 14/01/2026 - 2pcs kopi luwak@ 18.000,Rumah Tangga,,18000,"2,979,150",,,,,,,,,,
,,Bi untuk pembelian rumah tangga tgl 14/01/2026 - 1pcs barista @ 17.00,Rumah Tangga,,"17,000","2,962,150",,,,,,,,,,
,,Bi untuk pembelian rumah tangga tgl 14/01/2026 - 2pcs ares@ 17.000,Rumah Tangga,,34000,"2,928,150",,,,,,,,,,
,,Bi untuk pembayaran fee IKR Tim SMK Unsur 51user tgl 14/01/2026,fee,,1275000,"1,653,150",,,,,,,,,,
,,Bi untuk pembelian Konsumsi Kantor tgl 14/01/2026 - 16 karyawan kantor @9.000                ,Konsumsi Kantor,,"144,000","1,509,150",,,,,,,,,,
,,"Bi pembelian konsumsi untuk maintance kampung biru,comboran tgl 14/01/2026 ",Konsumsi,,"20,300","1,488,850",,,,,,,,,,
,,Bi pembelian konsumsi untuk tamu  tgl 14/01/2026,Konsumsi,,"100,000","1,388,850",,,,,,,,,,
,,Bi pembelian konsumsi untuk maintance lembur tgl 14/01/2026,Konsumsi,,"100,000","1,288,850",,,,,,,,,,
,,Bi pembelian konsumsi untuk maintance blimbing tgl 14/01/2026,IKR Blimbing,,"58,000","1,230,850",,,,,,,,,,
,,Bi transportasi IKR Lawang tgl 14/01/2026,IKR Lawang,,"15,000","1,215,850",,,,,,,,,,
,,Bi transportasi IKR Lawang tgl 14/01/2026,IKR Lawang,,"26,000","1,189,850",,,,,,,,,,
,,"Bi BBM N 4064 EDL km 0 tgl 14/01/2026 ltr 2.4 maintance kampung biru,comboran ",Transportasi,,"30,000","1,159,850",,,,,,,,,,
,,Bi BBM N 6460 ADR km 812801 tgl 14/01/2026 ltr 1.5 maintance srigading,Transportasi,,15000,"1,144,850",,,,,,,,,,
,,Bi BBM N 6170 AT km 243962 tgl 14/01/2026 ltr 1.0 randuagung,Transportasi,,10000,"1,134,850",,,,,,,,,,
15 Jan,14,Bi pembelian material tgl 15/12/2026- 2pcs solasi @ 7.000,Material,,"14,000","1,120,850",,,,,,,,,,
,,Bi pembelian material tgl 15/12/2026- 4pcsp. klem 06 @ 5.000,Material,,"20,000","1,100,850",,,,,,,,,,
,,Bi pembelian material tgl 15/12/2026- 2pack kabel tis @ 16.000,Material,,"32,000","1,068,850",,,,,,,,,,
,,Bi BBM N 2109 EFD km 421590 tgl 13/01/2026 ltr 1.5 maintance tasikmadu,Transportasi,,15000,"1,053,850",,,,,,,,,,
,,Bi BBM N 3281 GG  km 548857 tgl 15/01/2026 ltr 1.0 lawang,Transportasi,,10000,"1,043,850",,,,,,,,,,
,,Bi BBM N 2113 EFD  km 469315 tgl 15/01/2026 ltr 1.6  kasin,Transportasi,,20000,"1,023,850",,,,,,,,,,
,,Bi BBM N 1195 FV tgl 15/01/2026 ltr 10.0,Transportasi,,100000,"923,850",,,,,,,,,,
,,Bi BBM N 1124 IC tgl 15/01/2026 ltr 12.0 meeting di surabaya,Transportasi,,150000,"773,850",,,,,,,,,,
,,Bi BBM N 2113 EFD  km 468513 tgl 15/01/2026 ltr 2.0 batu,Transportasi,,"20,000","753,850",,,,,,,,,,
,,Bi BBM N 2109 EFD  km 427708 tgl 15/01/2026 ltr 2.0 maintance randuagung,Transportasi,,"20,000","733,850",,,,,,,,,,
