,,,,,,
,,,,,,
Laporan Kas Harian PT. SKYNET LINTAS NUSANTARA,,,,,,
Periode 01-30 Februari 2026,,,,,,
Tanggal,No.Bukti,Keterangan,, Jumlah ,,Saldo
,,,, Penerimaan , Pengeluaran ,
,,Bi pembelian material tgl 20/02/2026- 1pcs adaptor 24 volt@ 127.200,Material,,"127,200","2,763,659"
,,Bi pembelian material tgl 20/02/2026- 4pcs klem plat 2@ 2.000,Material,,"4,000","2,759,659"
,,Bi pembelian material tgl 20/02/2026- 1pcs P.lumajang@ 15.000,Material,,"15,000","2,744,659"
,,Bi pembelian material tgl 20/02/2026- 6pcs dinabolt 8x65 @ 2.000,Material,,"12,000","2,732,659"
,,Bi pembelian material tgl 20/02/2026- 3pcs klem plat 2@ 2.000,Material,,"6,000","2,726,659"
,,Bi pembelian material tgl 20/02/2026- 2kg semen gresik @ 2.000,Material,,"4,000","2,722,659"
,,Bi pembelian material tgl 20/02/2026- 1pcs adaptor 12 volt@ 15.000,Material,,"15,000","2,707,659"
,,Bi untuk pembayaran ongkos kirim kabel tgl 20/02/2026,ongkir,,"95,000","2,612,659"
,,Bi BBMM 2369AI km 57741 tgl 19/02/2026 ltr 1.0 ,transportasi,,"10,000","2,602,659"
,,Bi BBM W 3979 QH km 0 tgl 20/02/2026 ltr 2.0 malang,transportasi,,"20,000","2,582,659"
,,Bi BBM P 2616 UC  km 8046 tgl 19/02/2026 ltr 1.5,Transportasi,,"15,000","2,567,659"
,,Bi BBM M 5687 CP  km 469637 tgl 20/02/2026 ltr 2.0 lawang,transportasi,,"20,000","2,547,659"
,,Bi BBM N2114 EFD km 41107 tgl 20/02/2026 ltr 3.0 maintance bedali,transportasi,,"30,000","2,517,659"
,,Bi BBM N2110 EFD km 549671 tgl 20/02/2026 ltr 2.0 maintance sentul,transportasi,,"20,000","2,497,659"
,,Bi BBM N2668 GM km 570409 tgl 20/02/2026 ltr 2.0 maintance bantaran,transportasi,,"20,000","2,477,659"
,,Bi BBM N2918 YBI km 0 tgl 20/02/2026 ltr 1.5 IKR Lawang,transportasi,,"15,000","2,462,659"
,,Bi untuk pelunasan dana operasional ke Bu Dida tgl 20/02/2026,lain-lain,,"313,000","2,149,659"
21-Feb-26,20,dana masuk operasional,dana masuk,1164000,,"3,313,659"
,,dana masuk operasional,dana masuk,693000,,"4,006,659"
,,Bi BBM P 2616 UC  km 8046 tgl 19/02/2026 ltr 1.0,Transportasi,,"10,000","3,996,659"
,,"Bi BBM N 3222 KK  km 192168 tgl 21/02/2026 ltr 1.5 maintance bedali,gajahan",Transportasi,,15000,"3,981,659"
